section_title,total_pages_before,unknown_before,unknown_rate_before,total_pages_after,unknown_after,unknown_rate_after,delta_unknown_pages,delta_unknown_rate
AUTHORISED BUT NOT CONTRACTED,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
ATNOURDS PAYABLA LO GENERAL FUND,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
BALANCE SHEET AS AT 31 MARCH 2006,1.0,1.0,1.0,2.0,1.0,0.5,0.0,-0.5
AT I APRIL 2014,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
AT 31 MARCH,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
FINANCIAL REPORTING FRAMEWORK,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
AT 1 APRIL 2016,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
AT 1 APRIL 2015,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
AT 1 APRIL 2009,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
ASSESSMENT OF PERFORMANCE,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
AT 7 APRIL 2010,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
AS AT 1 APRIL 2018,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
BALANCE SHEET AS AT 31 MARCH 2011,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
BUILDINGS ASSETS,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
CONSOLIDATED BALANCE SHEET -,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
CONSOLIDATED BALANCE SHEET,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
CONSOLICATED STATEMENT OF FINANCIAL POSITION AS AT 314 MARCH 2019,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
CLINICAL GOVERNANCE COMMITTEE,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
CLINICAL GOVERNANCE,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
CLINICAL ETHICS COMMITTEE,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
BUILDING WORKS,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
CLINICAL AND MEDICAL,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
CAPITAL RESOURCE LIMIT _,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
CAPITAL RESOURCE LIMIT (CRL),2.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0
CAPITAL RESOURCE LIMIT,3.0,3.0,1.0,3.0,3.0,1.0,0.0,0.0
CAPITAL COMMITMENTS 2017 2010,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
C) MARKET RISK,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
B} FINANCIAL RISK FACTORS -,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
CERTIFIED DELIVERY EVENTS,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
CONSOLIDATED BALANCE SHEET AS AT 31 MARCH 2017,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
AS AT 1 APRIL 2016,2.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0
ARTIST STUART PEARSON WRIGHT PAINTED A BEAUTIFUL PORTRAIT OF SHETLAND KNITTER HARRIET,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
20167 2015/16,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
2016 GROSS GROSS 2017,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
2016 2017 2017,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
2014 2014 2015 2015 2016 2016,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
2. NOTES TO THE CASH FLOW STATEMENT,2.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0
2 (A) PAY COSTS,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
2017 2016,3.0,3.0,1.0,3.0,3.0,1.0,0.0,0.0
14 1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
11 (C) -ASSETS HELD FOR SALE,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
10. ANALYSIS OF CAPITAL EXPENDITURE,2.0,2.0,1.0,8.0,2.0,0.25,0.0,-0.75
1 DIRECTORS’ REPORT,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
1 APRIL 2015 TO EXTEND THE RETIREMENT AGE TO THE STATE PENSION AGE AND TO CALCULATE,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
-ISLANDS HEALTH AND SOCIAL CARE PARTNERSHIP (1JB) AGREEMENT ON THE LOCAL JOINT STRATEGIC,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
(A) FINANCIAL INSTRUMENTS BY CATEGORY,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
12 TRADE AND OTHER PAYABLES,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
AS 1 APRIL 2009,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
2018-19 HEALTH EXPENDITURE,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
23 JUNE 2023,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
ARI PHASE 2 - SECTION 5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
AND HM (HIS MAJESTY’S) GOVERNMENT AND THE SPFM RISK MANAGEMENT - GOOD PRACTICE,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
ACCESS TO SERVICES,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
A) FINANCIAL INSTRUMENTS BY CATEGORY,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
A) CORPORATE GOVERNANCE REPORT,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
60 AS AT PENSION AT,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
21C. RESTATED STATEMENT OF CASHFLOWS,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
33 (B) CONSOLIDATED GROUP BALANCE SHEET,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
2A STAFF NUMBERS AND COSTS CONT,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
27(D) RESTATED CASHFLOW STATEMENT AT 1 APRIL 2004,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
27(C) RESTATED BALANCE SHEET AT 1 APRIL 2004,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
26C. RESTATED CASH FLOW STATEMENT,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
26C. CONSOLIDATED STATEMENT OF CASHFLOWS,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
25. RESTATED CASH FLOW STATEMENT,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
33 (A) CONSOLIDATED STATEMENT OF COMPREHENSIVE NET EXPENDITURE,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CONSOLIDATED STATEMENT OF FINANCIAL POSITION AS AT 31 MARCH 2017,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
AT 1 APRIL 2017,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
CONSOLIDATED STATEMENT OF FINANCIAL POSITION AS AT 31 MARCH 2018,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
FIGURE 21—DIAGRAM SHOWING RISK REGISTER HIERARCHY,2.0,1.0,0.5,4.0,1.0,0.25,0.0,-0.25
FIGURE 14—EXTRACT FROM HEALTH AND CARE EXPERIENCE REPORT PUBLISHED BY PUBLIC,1.0,1.0,1.0,7.0,1.0,0.14285714285714285,0.0,-0.8571428571428572
EXECUTIVE MEMBERS,3.0,1.0,0.3333333333333333,3.0,1.0,0.3333333333333333,0.0,0.0
ENDOWMENT INTRA GROUP,6.0,6.0,1.0,6.0,6.0,1.0,0.0,0.0
ENDOWMENT FUNDS,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
ENDOWMENT CHARITABLE,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
E COMMUNITY HEALTH PARTNERSHIP COMMITTEE (COMMITTEE CEASED AT 31 MARCH 2016),1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
E COMMUNITY HEALTH AND SOCIAL CARE SERVICES,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
DRAFT V4,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
COUNCILLOR GEORGE MCINTYRE,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
COST OF CAPITAL,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
CORE RRL,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
CONTINGENT LIABILITIES* £000 £000,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
CONTINGENT ASSETS 650 525,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
CONSOLIDATED STATEMENT OF FINANCIAL POSITION AS AT 31 MARCH 2078,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
£’'000 STAFF COSTS,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CLINICAL CARE AND PROFESSIONAL GOVERNANCE COMMITTEE (CCPGC),0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
31 MARCH 2023,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0
ENVELOPE ID: 1AB19955EB3E4D7993219538B5ACD82E,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
33 (C) CONSOLIDATED STATEMENT OF CASHFLOWS:,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0
59 /54¢/0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
IAN SANDILANDS,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
9. ANALYSIS OF CAPITAL EXPENDITURE,3.0,3.0,1.0,4.0,4.0,1.0,1.0,0.0
ENDOWMENT SHETLAND,3.0,3.0,1.0,4.0,4.0,1.0,1.0,0.0
RISK AND UNCERTAINTY,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0
RIGHT OF USE (ROU) REMEASUREMENT LOSS,1.0,1.0,1.0,4.0,2.0,0.5,1.0,-0.5
REVIEW OF EFFECTIVENESS,1.0,0.0,0.0,2.0,1.0,0.5,1.0,0.5
MENTAL HEALTH,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0
REPATRIATION OF SERVICES TO SHETLAND,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0
ABERDEEN CITY ABDNSHIRE CHP MORAY CHP ACUTE SECTOR,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0
IMPLEMENTING COMPLIANCE MEASURES CONSISTENT WITH THE GENERAL DATA PROTECTION,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0
ACCIDENT AND EMERGENCY DEPARTMENT,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
NET MOVEMENT,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0
RELATED PARTY TRANSACTIONS,3.0,3.0,1.0,6.0,4.0,0.6666666666666666,1.0,-0.33333333333333337
REAL INCREASE IN,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0
REAL INCREASE,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0
ACCOUNTING POLICIES & ESTIMATES,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0
ACTUAL OUT-TURN VARIANCE,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0
ANALYSIS OF THE CLINICAL KEY PERFORMANCE STATISTICS,1.0,1.0,1.0,4.0,2.0,0.5,1.0,-0.5
PERFORMANCE AGAINST KEY NON-FINANCIAL TARGETS,2.0,2.0,1.0,3.0,3.0,1.0,1.0,0.0
SECTION 5—PERFORMANCE AGAINST KEY NON-FINANCIAL TARGETS,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
CONSOLIDATED STATEMENT OF CHANGES IN TAXPAYERS’ EQUITY FOR THE,2.0,2.0,1.0,3.0,3.0,1.0,1.0,0.0
SECTION 7—PAYMENT POLICY,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
SIGNIFICANT GOVERNANCE ISSUES,1.0,0.0,0.0,2.0,1.0,0.5,1.0,0.5
FREEDOM OF INFORMATION,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0
VALUE OF LAND,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
CONSOLIDATED STATEMENT OF FINANCIAL POSITION,2.0,2.0,1.0,3.0,3.0,1.0,1.0,0.0
FIGURE 19—DIAGRAM SHOWING RISK MANAGEMENT GOVERNANCE STRUCTURE,0.0,0.0,0.0,2.0,1.0,0.5,1.0,0.5
110 QUEEN STREET,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
2 (B) HIGHER PAID EMPLOYEES REMUNERATION,2.0,2.0,1.0,3.0,3.0,1.0,1.0,0.0
FIGURE 15—PHOTO SHOWING AMD INJECTION AT GILBERT BAIN HOSPITAL,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
2011 2010,3.0,3.0,1.0,4.0,4.0,1.0,1.0,0.0
FIGURE 14—WALLS AGRICULTURAL SHOW PUBLIC ENGAGEMENT,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0
2014 £2014 2015 2015 2016 2016,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0
THE ENDOWMENT FUND IS REGISTERED WITH THE OFFICE OF THE SCOTTISH CHARITY REGULATOR,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
SUMMARY OF RESOURCE OUTTURN,3.0,3.0,1.0,4.0,4.0,1.0,1.0,0.0
2021 - 2022,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
2022 TOTAL,1.0,1.0,1.0,6.0,2.0,0.3333333333333333,1.0,-0.6666666666666667
2024 TOTAL,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0
HEALTH AND SOCIAL CARE PARTNERSHIP (IJB) AND SHETLAND ISLANDS COUNCIL (SIC) ON A,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0
HEALTH AND SOCIAL CARE PARTNERSHIP AGREEMENT ON THE LOCAL JOINT STRATEGIC COMMISSIONING,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
STATEMENT OF CONSOLIDATED COMPREHENSIVE NET EXPENDITURE,7.0,7.0,1.0,8.0,8.0,1.0,1.0,0.0
EXPENDITURE IS RECOGNISED IN THE STATEMENT OF COMPREHENSIVE NET EXPENDITURE EXCEPT,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0
NON-EXECUTIVE MEMBERS,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
ENVELOPE ID: 56BECE47FAF34898A7B9C952402F6FF4,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
STAFF COSTS (AUDITED INFORMATION),0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
STAFF COMPOSITION (UNAUDITED INFORMATION),0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
31 MARCH 2020 CONFIRMED THAT AN INCREASE IN THE EMPLOYER CONTRIBUTION RATE FROM,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0
PENSIONS AND CLINTCAL & PARTICIPATION,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0
REVENUE RESOURCE LIMIT,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0
B} REMUNERATION AND STAFF REPORT,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0
DIRECTIONS BY THE SCOTTISH MINISTERS,7.0,7.0,1.0,8.0,8.0,1.0,1.0,0.0
MALE FEMALE | PREFER | TOTAL MALE FEMALE | PREFER | TOTAL,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0
B) FOREIGN CURRENCY RISK,3.0,3.0,1.0,6.0,4.0,0.6666666666666666,1.0,-0.33333333333333337
OFF PAYROLL ENGAGEMENT (UNAUDITED INFORMATION),0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
CORPORATE GOVERNANCE,3.0,3.0,1.0,4.0,4.0,1.0,1.0,0.0
AUDIT COMMITTEE,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0
INTANGIBLE ASSETS,2.0,2.0,1.0,3.0,3.0,1.0,1.0,0.0
BY PROVIDER,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0
OTHER RECERVABLES,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0
MICHAEL DICKSON,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
CASH EQUIVALENT,3.0,3.0,1.0,4.0,4.0,1.0,1.0,0.0
CONSOLIDATED STATEMENT OF FINANCIAL POSITION AS AT 31 MARCH 2025,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0
ENDOWMENT COMMITTEE,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
CLINICAL AND MEDICAL NEGLIGENCE COSTS,1.0,1.0,1.0,10.0,2.0,0.2,1.0,-0.8
BALANCE SHEET AS AT 31 MARCH 2005,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0
AS AT 1 APRIL 2015,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0
DONATED ASSETS,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0
ATI APRIL 2016,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0
CONSOLIDATED STATEMENT OF FINANCIAL POSITION AS AT 31 MARCH 2023,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0
CONSOLIDATED STATEMENT OF CASH FLOWS,2.0,2.0,1.0,3.0,3.0,1.0,1.0,0.0
SUMMARY OF CORE REVENUE RESOURCE OUT-TURN,0.0,0.0,0.0,2.0,2.0,1.0,2.0,1.0
ROYAL INSTITUTION OF CHARTERED SURVEYORS,0.0,0.0,0.0,2.0,2.0,1.0,2.0,1.0
ENDOWMENT SHETLAND IJB CONSOLIDATED,0.0,0.0,0.0,2.0,2.0,1.0,2.0,1.0
FAIR PAY DISCLOSURE (AUDITED INFORMATION),0.0,0.0,0.0,2.0,2.0,1.0,2.0,1.0
REMUNERATION COMMITTEE,1.0,1.0,1.0,3.0,3.0,1.0,2.0,0.0
31 MARCH 2025,2.0,2.0,1.0,5.0,4.0,0.8,2.0,-0.19999999999999996
SUMMARY ANALYSIS OF OTHER NON-FINANCIAL INDICATORS,0.0,0.0,0.0,3.0,2.0,0.6666666666666666,2.0,0.6666666666666666
2018-19 EXPENDITURE ANALYSIS,0.0,0.0,0.0,2.0,2.0,1.0,2.0,1.0
2021 TOTAL,0.0,0.0,0.0,2.0,2.0,1.0,2.0,1.0
COVID-19 RISK ISSUE,1.0,1.0,1.0,3.0,3.0,1.0,2.0,0.0
STAFF GOVERNANCE,1.0,1.0,1.0,3.0,3.0,1.0,2.0,0.0
COUNTER FRAUD SERVICES,1.0,1.0,1.0,3.0,3.0,1.0,2.0,0.0
STATEMENT OF FINANCIAL POSITION,0.0,0.0,0.0,2.0,2.0,1.0,2.0,1.0
AUDIT REPORT,2.0,1.0,0.5,5.0,3.0,0.6,2.0,0.09999999999999998
DIRECTION BY THE SCOTTISH MINISTERS,12.0,12.0,1.0,14.0,14.0,1.0,2.0,0.0
RISK AND CONTROL FRAMEWORK,2.0,2.0,1.0,4.0,4.0,1.0,2.0,0.0
BASIS OF CONSOLIDATION,3.0,3.0,1.0,5.0,5.0,1.0,2.0,0.0
INDEPENDENT AUDITOR'S REPORT,6.0,2.0,0.3333333333333333,68.0,4.0,0.058823529411764705,2.0,-0.2745098039215686
PENSIONS CLINICAL,1.0,1.0,1.0,3.0,3.0,1.0,2.0,0.0
INFORMATION GOVERNANCE,1.0,1.0,1.0,3.0,3.0,1.0,2.0,0.0
PERFORMANCE ANALYSIS,1.0,1.0,1.0,3.0,3.0,1.0,2.0,0.0
CLINICAL CARE AND PROFESSIONAL GOVERNANCE COMMITTEE,2.0,2.0,1.0,4.0,4.0,1.0,2.0,0.0
FIGURE 1—MAP OF SHETLAND,3.0,3.0,1.0,5.0,5.0,1.0,2.0,0.0
FIGURE 18—DIAGRAM SHOWING RISK MANAGEMENT GOVERNANCE STRUCTURE,1.0,1.0,1.0,3.0,3.0,1.0,2.0,0.0
FIGURE 16—VIDEO SHOWING TOUR OF VANGUARD MOBILE THEATRE,0.0,0.0,0.0,2.0,2.0,1.0,2.0,1.0
SUMMARY RESOURCE OUT-TURN,2.0,2.0,1.0,4.0,4.0,1.0,2.0,0.0
PENSION LIABILITIES,2.0,2.0,1.0,4.0,4.0,1.0,2.0,0.0
CONSOLIDATED STATEMENT OF FINANCIAL POSITION AS AT 31 MARCH 2022,1.0,1.0,1.0,3.0,3.0,1.0,2.0,0.0
ACCOUNTING POLICIES,2.0,2.0,1.0,6.0,4.0,0.6666666666666666,2.0,-0.33333333333333337
CLINICAL SERVICES COSTS,4.0,4.0,1.0,6.0,6.0,1.0,2.0,0.0
THE REMUNERATION AND STAFF REPORT,2.0,0.0,0.0,4.0,2.0,0.5,2.0,0.5
AT 1 APRIL 2010 320,1.0,1.0,1.0,3.0,3.0,1.0,2.0,0.0
EACH RMG AND THE CLINICAL CARE AND PROFESSIONAL GOVERNANCE COMMITTEE RECEIVES QUARTERLY,2.0,2.0,1.0,4.0,4.0,1.0,2.0,0.0
CONSOLIDATED STATEMENT OF CHANGES IN TAXPAYERS’ EQUITY—PRIOR,0.0,0.0,0.0,2.0,2.0,1.0,2.0,1.0
THE PRESENTATION OF THE STATEMENT OF COMPREHENSIVE NET EXPENDITURE (SOCNE),1.0,1.0,1.0,3.0,3.0,1.0,2.0,0.0
CONSOLIDATED STATEMENT OF CHANGES TO TAXPAYERS EQUITY FOR THE,1.0,1.0,1.0,3.0,3.0,1.0,2.0,0.0
FIGURE 13—EXTRACT FROM HEALTH AND CARE EXPERIENCE REPORT PUBLISHED BY PUBLIC,1.0,1.0,1.0,3.0,3.0,1.0,2.0,0.0
CAROL COLLIGAN,0.0,0.0,0.0,2.0,2.0,1.0,2.0,1.0
SUMMARY ANALYSIS OF CLINICAL KEY PERFORMANCE STATISTICS,1.0,1.0,1.0,4.0,4.0,1.0,3.0,0.0
CORRESPONDING AMOUNTS,5.0,3.0,0.6,9.0,6.0,0.6666666666666666,3.0,0.06666666666666665
FINANCIAL LIABILITIES,2.0,2.0,1.0,5.0,5.0,1.0,3.0,0.0
BEST VALUE,3.0,2.0,0.6666666666666666,12.0,5.0,0.4166666666666667,3.0,-0.24999999999999994
HEAD COUNT OF STAFF,4.0,4.0,1.0,7.0,7.0,1.0,3.0,0.0
INFECTION CONTROL,2.0,2.0,1.0,6.0,5.0,0.8333333333333334,3.0,-0.16666666666666663
HIGHER PAID EMPLOYEES REMUNERATION,1.0,1.0,1.0,4.0,4.0,1.0,3.0,0.0
PRIMARY CARE,2.0,2.0,1.0,5.0,5.0,1.0,3.0,0.0
EFFICIENCY SAVINGS,0.0,0.0,0.0,3.0,3.0,1.0,3.0,1.0
EXPENDITURE IS RECOGNISED IN THE STATEMENT OF COMPREHENSIVE NET EXPENDITURE,0.0,0.0,0.0,3.0,3.0,1.0,3.0,1.0
CONSOLIDATED STATEMENT OF FINANCIAL POSITION AS AT 31 MARCH 2021,2.0,2.0,1.0,5.0,5.0,1.0,3.0,0.0
NARRATIVE EXPLANATION,8.0,8.0,1.0,11.0,11.0,1.0,3.0,0.0
31 MARCH 2022,0.0,0.0,0.0,4.0,3.0,0.75,3.0,0.75
A) CREDIT RISK,2.0,2.0,1.0,5.0,5.0,1.0,3.0,0.0
HIGHEST EARNING DIRECTOR’S,0.0,0.0,0.0,3.0,3.0,1.0,3.0,1.0
BALANCE AT 31 MARCH 2009,1.0,1.0,1.0,4.0,4.0,1.0,3.0,0.0
LAND BUILDINGS DWELLINGS TRANS,1.0,1.0,1.0,4.0,4.0,1.0,3.0,0.0
SECTION 5 PERFORMANCE ANALYSIS REPORT,2.0,2.0,1.0,10.0,6.0,0.6,4.0,-0.4
POSITION HELD,3.0,3.0,1.0,7.0,7.0,1.0,4.0,0.0
THE IJB REVIEWED THE 2022–2025 STRATEGIC COMMISSIONING PLAN ON 17 FEBRUARY,0.0,0.0,0.0,4.0,4.0,1.0,4.0,1.0
SOCIAL CARE,0.0,0.0,0.0,4.0,4.0,1.0,4.0,1.0
PERFORMANCE ANALYSIS REPORT,0.0,0.0,0.0,4.0,4.0,1.0,4.0,1.0
FINANCIAL INSTRUMENTS,2.0,2.0,1.0,6.0,6.0,1.0,4.0,0.0
DIRECTORS’ REPORT,14.0,14.0,1.0,18.0,18.0,1.0,4.0,0.0
CONSOLIDATED STATEMENT OF CHANGES IN TAXPAYERS’ EQUITY,2.0,2.0,1.0,7.0,7.0,1.0,5.0,0.0
GOVERNANCE STATEMENT,15.0,11.0,0.7333333333333333,22.0,16.0,0.7272727272727273,5.0,-0.006060606060605989
LOSSES AND SPECIAL PAYMENTS,3.0,3.0,1.0,8.0,8.0,1.0,5.0,0.0
LIABILITIES AT FAIR,6.0,6.0,1.0,11.0,11.0,1.0,5.0,0.0
OPERATING LEASES,10.0,10.0,1.0,16.0,15.0,0.9375,5.0,-0.0625
PENSION COSTS,0.0,0.0,0.0,6.0,6.0,1.0,6.0,1.0
SECTION 5—PERFORMANCE ANALYSIS REPORT,1.0,1.0,1.0,7.0,7.0,1.0,6.0,0.0
THE STATEMENT OF ACCOUNTABLE OFFICER’S RESPONSIBILITIES,5.0,5.0,1.0,11.0,11.0,1.0,6.0,0.0
SHORT-TERM EMPLOYEE BENEFITS,3.0,2.0,0.6666666666666666,11.0,8.0,0.7272727272727273,6.0,0.06060606060606066
THE TRADE UNION (FACILITY TIME PUBLICATION REQUIREMENTS) REGULATIONS 2017 CAME,5.0,3.0,0.6,13.0,9.0,0.6923076923076923,6.0,0.09230769230769231
STAFF REPORT,3.0,3.0,1.0,10.0,10.0,1.0,7.0,0.0
SUSTAINABILITY AND ENVIRONMENTAL REPORTING,3.0,3.0,1.0,14.0,10.0,0.7142857142857143,7.0,-0.2857142857142857
GROSS SALARY,6.0,6.0,1.0,13.0,13.0,1.0,7.0,0.0
COMPLIANCE NATIONAL TARGET,3.0,3.0,1.0,10.0,10.0,1.0,7.0,0.0
PENSION VALUES (AUDITED INFORMATION),3.0,3.0,1.0,10.0,10.0,1.0,7.0,0.0
ANALYSIS OF OTHER IMPORTANT NON-FINANCIAL INDICATORS,1.0,1.0,1.0,9.0,9.0,1.0,8.0,0.0
RISK DESCRIPTION,3.0,3.0,1.0,11.0,11.0,1.0,8.0,0.0
SCOTTISH PARLIAMENT,6.0,2.0,0.3333333333333333,18.0,11.0,0.6111111111111112,9.0,0.27777777777777785
PERFORMANCE OVERVIEW REPORT,3.0,2.0,0.6666666666666666,18.0,12.0,0.6666666666666666,10.0,0.0
DIRECTLY PROVIDED HEALTHCARE,4.0,4.0,1.0,16.0,14.0,0.875,10.0,-0.125
(C) STAFF COSTS (AUDITED INFORMATION),1.0,1.0,1.0,12.0,12.0,1.0,11.0,0.0
DELAYED DISCHARGES,2.0,1.0,0.5,13.0,12.0,0.9230769230769231,11.0,0.42307692307692313
31 MARCH,5.0,5.0,1.0,16.0,16.0,1.0,11.0,0.0
ASSET CATEGORY,5.0,5.0,1.0,18.0,18.0,1.0,13.0,0.0
UNSCHEDULED CARE,4.0,4.0,1.0,21.0,17.0,0.8095238095238095,13.0,-0.19047619047619047
ACCOUNTING CONVENTION,3.0,2.0,0.6666666666666666,18.0,17.0,0.9444444444444444,15.0,0.2777777777777778
Unknown,0.0,0.0,0.0,24.0,17.0,0.7083333333333334,17.0,0.7083333333333334
