doc_id,chunk_id_global,neighbor_jaccard_at_k,neighbor_spearman_on_overlap
Grampian-2022-2023,Grampian-2022-2023:p0038_002,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0039_000,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0040_000,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0040_001,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0041_000,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0041_001,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0042_000,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0043_000,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0043_001,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0043_002,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0044_000,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0044_001,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0044_002,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0045_000,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0045_001,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0045_002,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0046_000,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0046_001,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0046_002,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0047_000,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0047_001,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0048_000,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0048_001,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0049_000,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0049_001,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0050_000,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0051_000,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0052_000,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0052_001,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0053_000,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0054_000,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0054_001,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0054_002,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0055_000,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0055_001,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0055_002,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0056_000,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0056_001,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0056_002,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0057_000,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0057_001,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0058_000,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0058_001,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0058_002,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0059_000,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0059_001,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0060_000,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0060_001,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0060_002,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0061_000,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0061_001,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0062_000,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0062_001,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0063_000,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0063_001,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0064_000,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0065_000,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0065_001,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0065_002,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0066_000,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0066_001,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0066_002,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0067_000,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:table_p0068,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:table_p0069,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:table_p0070,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:table_p0071,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0072_000,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0072_001,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0073_000,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0073_001,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0073_002,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0074_000,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:table_p0075,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:table_p0076,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0077_000,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0077_001,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0077_002,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0078_000,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0078_001,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0079_000,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0080_000,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0080_001,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0081_000,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0081_001,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0081_002,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0082_000,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0082_001,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0083_000,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0083_001,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0084_000,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0084_001,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0085_000,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:table_p0086,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:table_p0087,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0088_000,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:table_p0089,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:table_ocr_p0090,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0091_000,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0091_001,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0091_002,1.0,0.8787878787878788
Grampian-2022-2023,Grampian-2022-2023:p0092_000,0.8181818181818182,0.9959292143521044
Grampian-2022-2023,Grampian-2022-2023:p0092_001,0.8181818181818182,1.0
Grampian-2022-2023,Grampian-2022-2023:p0092_002,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0093_000,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0093_001,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0093_002,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0094_000,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0094_001,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0094_002,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0095_000,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0095_001,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0095_002,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0096_000,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0096_001,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0097_000,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0097_001,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0098_000,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0098_001,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0098_002,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0099_000,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0099_001,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0100_000,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0100_001,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0100_002,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0101_000,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0101_001,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0101_002,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0102_000,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0102_001,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0102_002,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0103_000,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0103_001,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0103_002,1.0,1.0
Grampian-2022-2023,Grampian-2022-2023:p0104_000,1.0,1.0
