doc_id,query_id,difficulty,run_count,hit1_mean,hit1_std,mrr10_mean,mrr10_std,top1_chunk_flip,top1_page_flip,fp2_recurrence_count,rank_corr_mean,recall@1_mean,recall@1_std,recall@3_mean,recall@3_std,recall@5_mean,recall@5_std,recall@10_mean,recall@10_std
Grampian-2023-2024,Q_2024_FIN_04,LEX,5,0.8,0.4,0.9,0.2,1,1,1,0.7849471458773785,0.8,0.4,1.0,0.0,1.0,0.0,1.0,0.0
Grampian-2023-2024,Q_2024_FIN_05,LEX,5,1.0,0.0,1.0,0.0,0,0,0,0.9132044583768723,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Grampian-2023-2024,Q_2024_FIN_06,LEX,5,0.0,0.0,0.22857142857142856,0.042857142857142864,0,0,5,0.8777673284569836,0.0,0.0,0.0,0.0,0.8,0.4,1.0,0.0
Grampian-2023-2024,Q_2024_FIN_07,LEX,5,1.0,0.0,1.0,0.0,0,0,0,0.9308150470219436,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Grampian-2023-2024,Q_2024_FIN_P1,MOD,5,1.0,0.0,1.0,0.0,0,0,0,0.9003276955602535,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Grampian-2023-2024,Q_2024_FIN_P2,MOD,5,0.0,0.0,0.26666666666666666,0.13333333333333333,0,0,4,0.7152507836990597,0.0,0.0,0.8,0.4,0.8,0.4,0.8,0.4
Grampian-2023-2024,Q_2024_GOPES_01,STR,5,1.0,0.0,1.0,0.0,1,0,0,0.27920893141945774,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Grampian-2023-2024,Q_2024_GOPES_P1,MOD,5,1.0,0.0,1.0,0.0,0,0,0,0.860626959247649,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Grampian-2023-2024,Q_2024_GOV_01,STR,5,0.0,0.0,0.0,0.0,0,0,0,0.7679742250087078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grampian-2023-2024,Q_2024_GOV_02,LEX,5,1.0,0.0,1.0,0.0,0,0,0,0.9180549682875265,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Grampian-2023-2024,Q_2024_GOV_03,LEX,5,0.2,0.4,0.6,0.2,1,1,4,0.5073106364365385,0.2,0.4,1.0,0.0,1.0,0.0,1.0,0.0
Grampian-2023-2024,Q_2024_GOV_P1,MOD,5,0.0,0.0,0.0,0.0,0,0,0,0.856652734238941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grampian-2023-2024,Q_2024_IJB_01,LEX,5,1.0,0.0,1.0,0.0,0,0,0,0.7596532769556026,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Grampian-2023-2024,Q_2024_IJB_02,LEX,5,1.0,0.0,1.0,0.0,0,0,0,0.9963636363636361,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Grampian-2023-2024,Q_2024_IJB_03,LEX,5,1.0,0.0,1.0,0.0,0,0,0,0.8736050156739813,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Grampian-2023-2024,Q_2024_IJB_04,LEX,5,1.0,0.0,1.0,0.0,0,0,0,0.8465203761755484,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Grampian-2023-2024,Q_2024_IJB_P1,MOD,5,1.0,0.0,1.0,0.0,0,0,0,0.719437923744259,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Grampian-2023-2024,Q_2024_PLAN_01,STR,5,0.0,0.0,0.45,0.1,0,0,5,0.5539852008456659,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Grampian-2023-2024,Q_2024_SAV_01,LEX,5,0.0,0.0,0.45,0.1,0,0,5,0.6362528654629698,0.0,0.0,0.8,0.4,1.0,0.0,1.0,0.0
Grampian-2023-2024,Q_2024_SAV_02,LEX,5,0.2,0.4,0.6,0.2,1,1,4,0.47181658692185013,0.2,0.4,1.0,0.0,1.0,0.0,1.0,0.0
Grampian-2023-2024,Q_2024_SAV_03,LEX,5,0.2,0.4,0.6,0.2,1,1,4,0.4665151515151515,0.2,0.4,1.0,0.0,1.0,0.0,1.0,0.0
Grampian-2023-2024,Q_2024_SAV_P1,MOD,5,0.0,0.0,0.2952380952380952,0.07619047619047618,1,1,5,0.4178798328108673,0.0,0.0,0.8,0.4,0.8,0.4,1.0,0.0
Grampian-2023-2024,Q_2024_STR_01,STR,5,1.0,0.0,1.0,0.0,0,0,0,0.6098680333065172,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Grampian-2023-2024,Q_2024_STR_P1,MOD,5,1.0,0.0,1.0,0.0,0,0,0,0.8615047021943573,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Grampian-2024-2025,Q_EFF_2024_01,,5,1.0,0.0,1.0,0.0,1,1,0,0.5854942771743092,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Grampian-2024-2025,Q_EFF_2024_02,,5,1.0,0.0,1.0,0.0,1,1,0,0.6675372165925494,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Grampian-2024-2025,Q_EFF_2024_03,,5,1.0,0.0,1.0,0.0,1,1,0,0.39591680835684395,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
