doc_id,fallback_k1_page_hit_rate,tiktoken_k1_page_hit_rate,delta_k1_page_hit_rate,fallback_k1_page_mrr,tiktoken_k1_page_mrr,delta_k1_page_mrr,fallback_k1_chunk_hit_rate,tiktoken_k1_chunk_hit_rate,delta_k1_chunk_hit_rate,fallback_k1_chunk_mrr,tiktoken_k1_chunk_mrr,delta_k1_chunk_mrr,fallback_k3_page_hit_rate,tiktoken_k3_page_hit_rate,delta_k3_page_hit_rate,fallback_k3_page_mrr,tiktoken_k3_page_mrr,delta_k3_page_mrr,fallback_k3_chunk_hit_rate,tiktoken_k3_chunk_hit_rate,delta_k3_chunk_hit_rate,fallback_k3_chunk_mrr,tiktoken_k3_chunk_mrr,delta_k3_chunk_mrr,fallback_k5_page_hit_rate,tiktoken_k5_page_hit_rate,delta_k5_page_hit_rate,fallback_k5_page_mrr,tiktoken_k5_page_mrr,delta_k5_page_mrr,fallback_k5_chunk_hit_rate,tiktoken_k5_chunk_hit_rate,delta_k5_chunk_hit_rate,fallback_k5_chunk_mrr,tiktoken_k5_chunk_mrr,delta_k5_chunk_mrr,fallback_k10_page_hit_rate,tiktoken_k10_page_hit_rate,delta_k10_page_hit_rate,fallback_k10_page_mrr,tiktoken_k10_page_mrr,delta_k10_page_mrr,fallback_k10_chunk_hit_rate,tiktoken_k10_chunk_hit_rate,delta_k10_chunk_hit_rate,fallback_k10_chunk_mrr,tiktoken_k10_chunk_mrr,delta_k10_chunk_mrr
Grampian-2020-2021,0.62,0.68,0.06,0.62,0.68,0.06,0.62,0.68,0.06,0.62,0.68,0.06,0.84,0.82,-0.02,0.7,0.7366666666666666,0.0367,0.84,0.82,-0.02,0.6966666666666668,0.7366666666666666,0.04,0.86,0.88,0.02,0.705,0.7523333333333332,0.0473,0.86,0.88,0.02,0.7016666666666667,0.7506666666666666,0.049,0.88,0.94,0.06,0.7083333333333333,0.7636666666666666,0.0553,0.88,0.94,0.06,0.7045238095238094,0.7587222222222222,0.0542
Grampian-2021-2022,0.62,0.7,0.08,0.62,0.7,0.08,0.62,0.7,0.08,0.62,0.7,0.08,0.74,0.78,0.04,0.6733333333333333,0.7333333333333333,0.06,0.74,0.78,0.04,0.6733333333333333,0.73,0.0567,0.8,0.84,0.04,0.6890000000000001,0.7490000000000001,0.06,0.8,0.84,0.04,0.6873333333333334,0.7439999999999999,0.0567,0.86,0.9,0.04,0.6968571428571428,0.7580476190476191,0.0612,0.86,0.9,0.04,0.6946349206349205,0.7522142857142857,0.0576
Grampian-2022-2023,0.62,0.66,0.04,0.62,0.66,0.04,0.62,0.66,0.04,0.62,0.66,0.04,0.8,0.78,-0.02,0.6966666666666668,0.7133333333333333,0.0167,0.8,0.78,-0.02,0.6966666666666668,0.7133333333333333,0.0167,0.86,0.84,-0.02,0.7106666666666668,0.7273333333333334,0.0167,0.86,0.84,-0.02,0.7106666666666668,0.7273333333333334,0.0167,0.96,0.92,-0.04,0.7247936507936508,0.7402222222222222,0.0154,0.96,0.92,-0.04,0.7222460317460319,0.7367777777777778,0.0145
Grampian-2023-2024,0.64,0.72,0.08,0.64,0.72,0.08,0.64,0.72,0.08,0.64,0.72,0.08,0.86,0.9,0.04,0.74,0.8066666666666665,0.0667,0.86,0.9,0.04,0.7366666666666667,0.8033333333333335,0.0667,0.94,0.92,-0.02,0.7606666666666668,0.8133333333333332,0.0527,0.94,0.92,-0.02,0.7556666666666666,0.8083333333333335,0.0527,0.96,0.96,0.0,0.764,0.8195238095238095,0.0555,0.96,0.96,0.0,0.757888888888889,0.8131904761904761,0.0553
Grampian-2024-2025,0.56,0.66,0.1,0.56,0.66,0.1,0.56,0.66,0.1,0.56,0.66,0.1,0.76,0.86,0.1,0.6566666666666666,0.7533333333333334,0.0967,0.76,0.86,0.1,0.6533333333333333,0.75,0.0967,0.8,0.88,0.08,0.6666666666666665,0.76,0.0933,0.8,0.88,0.08,0.6633333333333333,0.755,0.0917,0.86,0.9,0.04,0.6745238095238095,0.7622222222222222,0.0877,0.86,0.9,0.04,0.6708333333333333,0.7572222222222221,0.0864
