page,extractor_notes,ocr_text_len,clean_text_len,ocr_quality_reject,ocr_low_text_density,ocr_high_symbol_ratio,ocr_repeated_garbage,ocr_low_line_count,ocr_symbol_ratio,ocr_alpha_word_count,ocr_non_empty_lines
58,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2718,,,,,,,,
59,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1909,,,,,,,,
60,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1863,,,,,,,,
61,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2672,,,,,,,,
62,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,3139,,,,,,,,
63,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2924,,,,,,,,
64,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1633,,,,,,,,
65,rotated_page_low_yield:landscape_page_low_yield;ocr_raw_attempted;ocr_raw_used,,1234,,,,,,,,
66,rotated_page_low_yield:landscape_page_low_yield;ocr_raw_attempted;ocr_raw_used,,1117,,,,,,,,
67,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1077,,,,,,,,
68,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2302,,,,,,,,
69,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1918,,,,,,,,
70,rotated_page_low_yield:landscape_page_low_yield;ocr_raw_attempted;ocr_raw_used,,2373,,,,,,,,
71,rotated_page_low_yield:landscape_page_low_yield;ocr_raw_attempted;ocr_raw_used,,2089,,,,,,,,
72,rotated_page_low_yield:landscape_page_low_yield;ocr_raw_attempted;ocr_raw_used,,2878,,,,,,,,
73,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2148,,,,,,,,
74,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,3555,,,,,,,,
75,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2701,,,,,,,,
76,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,3024,,,,,,,,
77,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,3489,,,,,,,,
78,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2486,,,,,,,,
79,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1575,,,,,,,,
80,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2788,,,,,,,,
81,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2271,,,,,,,,
82,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,3115,,,,,,,,
83,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,3297,,,,,,,,
84,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,3133,,,,,,,,
85,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,3126,,,,,,,,
86,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2356,,,,,,,,
87,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2516,,,,,,,,
88,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2533,,,,,,,,
89,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2639,,,,,,,,
90,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2655,,,,,,,,
91,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1158,,,,,,,,
92,rotated_page_low_yield:landscape_page_low_yield;ocr_raw_attempted;ocr_raw_used,,1412,,,,,,,,
93,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2760,,,,,,,,
94,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1220,,,,,,,,
95,rotated_page_low_yield:landscape_page_low_yield;ocr_raw_attempted;ocr_raw_used,,505,,,,,,,,
96,rotated_page_low_yield:landscape_page_low_yield;ocr_raw_attempted;ocr_raw_used,,1010,,,,,,,,
97,rotated_page_low_yield:landscape_page_low_yield;ocr_raw_attempted;ocr_raw_used,,2393,,,,,,,,
98,rotated_page_low_yield:landscape_page_low_yield;ocr_raw_attempted;ocr_raw_used,,2478,,,,,,,,
99,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2402,,,,,,,,
100,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1356,,,,,,,,
101,rotated_page_low_yield:landscape_page_low_yield;ocr_raw_attempted;ocr_raw_used,,1538,,,,,,,,
102,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,3044,,,,,,,,
103,rotated_page_low_yield:landscape_page_low_yield;ocr_raw_attempted;ocr_raw_used,,1610,,,,,,,,
104,rotated_page_low_yield:landscape_page_low_yield;ocr_raw_attempted;ocr_raw_used,,1171,,,,,,,,
105,rotated_page_low_yield:landscape_page_low_yield;ocr_raw_attempted;ocr_raw_used,,2553,,,,,,,,
106,rotated_page_low_yield:landscape_page_low_yield;ocr_raw_attempted;ocr_raw_used,,2637,,,,,,,,
107,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,3696,,,,,,,,
108,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1920,,,,,,,,
109,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2498,,,,,,,,
110,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1553,,,,,,,,
111,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2129,,,,,,,,
112,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,4740,,,,,,,,
113,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2988,,,,,,,,
114,rotated_page_low_yield:landscape_page_low_yield;ocr_raw_attempted;ocr_raw_used,,2127,,,,,,,,
115,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,3051,,,,,,,,
116,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2363,,,,,,,,
117,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2182,,,,,,,,
118,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1141,,,,,,,,
