doc_id,pages_total,fs_pages,pct_pages_financial_statements,fs_subsection_unknown_pages,pct_subsection_unknown_in_financial_statements,narrative_pages,narrative_subsection_unknown_pages,pct_subsection_unknown_in_narrative_sections,hit_at_1,mrr_at_10,narrative_unknown_rate,financial_unknown_rate
Grampian-2020-2021,132,55,0.4166666666666667,2,0.0363636363636363,77,38,0.4935064935064935,0.62,0.7083333333333333,0.4935064935064935,0.0363636363636363
Grampian-2021-2022,145,5,0.0344827586206896,4,0.8,140,114,0.8142857142857143,0.62,0.6968571428571428,0.8142857142857143,0.8
Grampian-2022-2023,154,67,0.435064935064935,52,0.7761194029850746,87,4,0.0459770114942528,0.62,0.7186031746031746,0.0459770114942528,0.7761194029850746
Grampian-2023-2024,161,66,0.4099378881987577,42,0.6363636363636364,95,19,0.2,0.68,0.789,0.2,0.6363636363636364
Grampian-2024-2025,172,68,0.3953488372093023,42,0.6176470588235294,104,9,0.0865384615384615,0.56,0.6745238095238095,0.0865384615384615,0.6176470588235294
