page,extractor_notes,ocr_text_len,clean_text_len,ocr_quality_reject,ocr_low_text_density,ocr_high_symbol_ratio,ocr_repeated_garbage,ocr_low_line_count,ocr_symbol_ratio,ocr_alpha_word_count,ocr_non_empty_lines
49,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,1116,,,,,,,,
50,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,1647,,,,,,,,
51,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,1676,,,,,,,,
52,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,1635,,,,,,,,
53,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,838,,,,,,,,
54,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,789,,,,,,,,
55,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,979,,,,,,,,
56,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,1911,,,,,,,,
57,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,2177,,,,,,,,
58,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,2659,,,,,,,,
59,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,1811,,,,,,,,
60,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,1143,,,,,,,,
61,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,2914,,,,,,,,
62,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,3013,,,,,,,,
63,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,2593,,,,,,,,
64,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,1437,,,,,,,,
65,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,3630,,,,,,,,
66,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,1832,,,,,,,,
67,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,1528,,,,,,,,
68,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,4585,,,,,,,,
69,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,981,,,,,,,,
70,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,2042,,,,,,,,
71,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,3266,,,,,,,,
72,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,2105,,,,,,,,
73,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,703,,,,,,,,
74,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,2275,,,,,,,,
75,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,1139,,,,,,,,
